index,id,company,phone,address,website,leadtype,category,rating,rating_count,email
18,ChIJc_1pj6cnwokRNOH7Y8sEvfc,Surf Citi Transportation,(888) 366-8294,"103 16th Ave, Belmar, NJ 07719, USA",https://www.facebook.com/shorecruisersllc/|https://www.surfcititransportation.com/,Social Media Only,transportation_service,5,13,info@surfcititransportation.com
121,ChIJu0A9HWGJ-4gRS_I_LRU06A8,MOBILE MECHANIC ESTRADA,(843) 812-3079,"365 Red Cedar St Ste 602, Bluffton, SC 29910, USA",https://www.facebook.com/profile.php?id=61576202571418,Social Media Only,car_repair,5,5,mobilemechanicestrada@gmail.com
128,ChIJBc05cRie-4gRoQ9NCyVUC70,"Parrish Auto Repair, Inc.",(912) 236-4797,"2501 Habersham St, Savannah, GA 31401, USA",https://www.facebook.com/parrishautorepairsavannah/|parrishautorepair.com,Social Media Only,car_repair,4.5,175,parrishautorepair@gmail.com
159,ChIJy7l7Dj5_-4gRDDWCgJJfnX8,Mi Vida,(912) 472-4651,"1315 Butler Ave, Tybee Island, GA 31328, USA",https://www.facebook.com/mividatybeeisland|https://mividatybee.com/,Social Media Only,coffee_shop,4.6,499,mividatybee@gmail.com
197,ChIJs7Ado4CJ-4gRERgG_K3HrwA,Bacon Diner,(843) 227-3012,"4 Oliver Ct, Bluffton, SC 29910, USA",https://www.facebook.com/BaconDiner66/|https://www.bacondiner.com/,Social Media Only,restaurant,4.6,405,bacondiner@gmail.com
204,ChIJsUu6XO2d-4gRnuBbuzdlEuY,Regina A Catering,(912) 507-5611,"2405 Florida Ave, Savannah, GA 31404, USA",https://www.facebook.com/ReginaACatering/,No Website,catering_service,5,2,reginaacatering@gmail.com
205,ChIJkUJ1Nsd1-4gR57D3wxToqMg,Chef in Da House catering,(912) 604-5813,"2 E 61st St, Savannah, GA 31405, USA",https://www.facebook.com/ChefInDaHouseCatering/,No Website,catering_service,3,1,chefindahousecatering@gmail.com
215,ChIJlym_AwCdwYkRZLLLjDJximY,BeautifiMe Concierge Aesthetics,(443) 480-6376,"621 Bay Ave, Toms River, NJ 08753, USA",https://www.facebook.com/share/1EnjE33RdX/?mibextid=wwXIfr|https://beautifime.com/,Social Media Only,spa,5,7,info@beautifime.com
272,ChIJ4-838RMtx4kRory_bRpvac8,Colie's Pet Sitting and Services,(609) 330-5147,"263 S Blue Bell Rd, Vineland, NJ 08360, USA",http://facebook.com/coliespetsittingandservices/,Social Media Only,pet_care,5,57,coliespetsitting@gmail.com
276,ChIJo0mZHrqO-4gRk1c1vlZXHzM,Shaggy Dogs Grooming,(843) 706-7297,"102 Buckwalter Pkwy #3b, Bluffton, SC 29910, USA",https://www.facebook.com/Shaggy-Dogs-Grooming-108963095818719/timeline/|shaggydogsgroomingbluffton.com,Social Media Only,pet_care,4.4,49,shaggydogsgroomingbluffton@gmail.com
281,ChIJjSlwbGGow4kRYcupK4GqYWI,Party Busters Entertainment,(973) 361-6041,"18 Cooper Rd, Denville, NJ 07834, USA",http://www.facebook.com/PartyBustersEntertainment|https://www.partybusters.com/,Social Media Only,service,3.5,8,info@partybusters.com
290,ChIJHTbrM_1_wYkR6GHidf6hLog,Peerless Elegance Event Planning,(347) 972-7925,"1020 Larsen Rd, Jackson Township, NJ 08527, USA",https://instagram.com/designs_by_shadiek?igshid=NTc4MTIwNjQ2YQ==|https://www.peerlesselegance.com,Social Media Only,service,4.9,23,peerlesselegance@gmail.com
296,ChIJ99hfAQkzx4kREVFyHzgSeWE,My balloon boutique llc,(856) 688-3198,"1370 S Main Rd Ste 8, Vineland, NJ 08360, USA",https://www.instagram.com/myballoonboutiquenj/|https://myballoonboutiquenj.com,Social Media Only,home_goods_store,5,4,myballoonboutiquenj@gmail.com
415,ChIJ-5jjDnXJw4kR1rhLEDYB_1o,LA MÔD SALON,(848) 313-3167,"1835 NJ-27, Edison, NJ 08817, USA",https://instagram.com/lamodsalon_hair|https://lamodsalon.com/,Social Media Only,hair_salon,4.3,149,lamodsalon@gmail.com
426,ChIJ85szHEfHw4kRHJapDImWEjI,ZoeyH Hair @LA MÔD Salon,(732) 287-0000,"1835 NJ-27, Edison, NJ 08817, USA",https://instagram.com/zoeyh_hair|https://www.lamodsalon.com,Social Media Only,hair_salon,4.8,24,info@lamodsalon.com
448,ChIJgXR5tasox4kRwP7NDuWGb_U,JL Beautique Salon,(856) 521-0875,"1672 N Delsea Dr Ste A-1, Vineland, NJ 08360, USA",https://m.facebook.com/jlbsalon/|https://www.jlbeautiquesalon.com/,Social Media Only,beauty_salon,4.8,60,info@jlbeautiquesalon.com
509,ChIJbwm04GN7_ogRWW8WVcbA0HE,The Pink Parrot Hair Lounge,(843) 576-9080,"58 Broad St, Charleston, SC 29401, USA",https://www.instagram.com/thepinkparrot.hair/|https://www.thepinkparrothairlounge.com/,Social Media Only,hair_salon,4.8,47,thepinkparrothairlounge@gmail.com
629,ChIJ87EEBAyJ-4gRConkySU-y2E,Elite Nails,(843) 815-9939,"1017 Fording Island Rd Ste 102F, Bluffton, SC 29910, USA",https://www.facebook.com/elitenails278|https://elitenailsbluffton.com/,Social Media Only,nail_salon,4.5,198,elitenailsbluffton@gmail.com
670,ChIJg2f2LuVv_ogRjmLnWzbTLn0,Posh Nail Lounge,(843) 936-6387,"211 River Landing Dr Ste A, Charleston, SC 29492, USA",http://facebook.com/poshnaillounge|https://www.poshnaillounge.com,Social Media Only,nail_salon,4.4,130,info@poshnaillounge.com
673,ChIJ39NLi8Z1-4gRt2hfm7oAY-I,Viva Nail and Spa,(912) 344-4116,"11215 Abercorn St Ste 4, Savannah, GA 31419, USA",https://m.facebook.com/100063689164512/|https://www.vivanailandspa.com,Social Media Only,nail_salon,4.8,255,contact@vivanailandspa.com
676,ChIJ17_Q7ZS9-4gRZGKdMUk5XyQ,Noire Nail Salon Rincon Savannah GA,(912) 295-2696,"449 S Columbia Ave Ste F, Rincon, GA 31326, USA",http://facebook.com/noirenailsrincon|https://www.noirenailsalon.com,Social Media Only,nail_salon,4.4,722,info@noirenailsalon.com
679,ChIJb25FZ-ei-4gRP5Z4tJK37hs,Delight Nail Salon Port Wentworth Savannah GA,(912) 965-0606,"7938 GA-21 #100, Port Wentworth, GA 31407, USA",https://www.facebook.com/Delightnailz/|https://www.delightnailsalon.com,Social Media Only,nail_salon,4.2,381,contact@delightnailsalon.com
703,ChIJcTic_BDFw4kRsk9O9wpGXFs,High Quality Painters,(732) 801-9840,"500 Adams Ln, North Brunswick Township, NJ 08902, USA",https://instagram.com/highquality_painters?igshid=YmMyMTA2M2Y=|https://highqualitypaintersnj.com/,Social Media Only,painter,5,29,highqualitypaintersnj@gmail.com
704,ChIJOxGXUcu3w4kR5_J1GNDYUPA,Jersey Pro Painters,(732) 895-8975,"180 Liberty St, Metuchen, NJ 08840, USA",http://www.instagram.com/jerseypropainters|https://jerseypropainters.com/,Social Media Only,painter,4.9,70,info@jerseypropainters.com
736,ChIJt_ot150V3W0RN9YEToEnCgk,Mvc Painting and Services LLC,(843) 321-8927,"10 Boundary St, Bluffton, SC 29910, USA",https://www.instagram.com/mvcpaintingandservicesllc/|https://mvcpaintingandservicesllc.com/,Social Media Only,,5,23,mvcpaintingandservicesllc@gmail.com
894,ChIJI-IQH5yW-4gRZ5PEUDi6irs,Southern Roof & Wood Care,(843) 784-7676,"1210 Honey Hill Rd, Hardeeville, SC 29927, USA",https://www.facebook.com/Southern-Roof-Wood-Care-102710068659134/|southernroofandwoodcare.com,Social Media Only,roofing_contractor,4.4,7,southernroofandwoodcare@gmail.com
902,ChIJVyXaKfGI-4gROIw6smyEY34,Stelzer Construction Llc,(843) 298-9325,"10 Stoney Crossing, Bluffton, SC 29910, USA",https://www.facebook.com/stelzerConst|https://www.stelzerconstructionllc.com,Social Media Only,general_contractor,5,1,info@stelzerconstructionllc.com
905,ChIJP6zx_l16_ogRonBpzzo_oCo,Picquet Roofing Inc,(843) 722-0641,"274 Hanover St, Charleston, SC 29403, USA",https://www.facebook.com/pages/Picquet-Roofing/135013676548429|https://www.picquetroofing.com,Social Media Only,roofing_contractor,5,2,info@picquetroofing.com
