index,id,company,phone,address,website,leadtype,category,rating,rating_count,email
30,ChIJ54BxaxJ5-4gRvxptYaSADRs,Aerial Marketing Solutions Savannah,(912) 665-4000,"103 Wales Ct, Savannah, GA 31410, USA",https://www.facebook.com/Savannah.AerialMarketingSolutions/|https://aerialmarketingsolutions.com/,Social Media Only,service,,,info@aerialmarketingsolutions.com
92,ChIJc_1pj6cnwokRNOH7Y8sEvfc,Surf Citi Transportation,(888) 366-8294,"103 16th Ave, Belmar, NJ 07719, USA",https://www.facebook.com/shorecruisersllc/|surfcititransportation.com,Social Media Only,transportation_service,5,13,surfcititransportation@gmail.com
155,ChIJVRpi5Hr4HgIR9JLAKPYKZ3c,Broad River Stump Grinding,(843) 929-7375,"5024 Dogwood St, Beaufort, SC 29906, USA",https://www.facebook.com/profile.php?id=61557457341910&name=xhp_nt__fb__action__open_user|broadriverstumpgrinding.com,Social Media Only,service,5,31,info@broadriverstumpgrinding.com
184,ChIJw84ImlaL_ogR8Et_pCbFvsY,RAMIREZ TREE SERVICE & LANDSCAPING LLC,(843) 582-1103,"361 Royle Rd, Ladson, SC 29456, USA",https://www.facebook.com/share/1cAUEEzDfE/|https://ramireztreeservicelandscaping.com/,Social Media Only,service,5,64,ramireztreeservicelandscaping@gmail.com
186,ChIJY4NfQziJ_ogR1qXAyyESdqE,Emmanuel Tree Service LLC,(843) 974-7273,"257 Picard Dr, Ladson, SC 29456, USA",https://www.facebook.com/share/1HMDEjkJGL/?mibextid=wwXIfr|https://emmanueltreeservicellc.com/,Social Media Only,service,5,25,emmanueltreeservicellc@gmail.com
197,ChIJFVxwScHJxAwRVrdQr5Hqi4w,Cole Tree Care,(912) 508-4499,"41 Quail Rd, Richmond Hill, GA 31324, USA",https://www.facebook.com/cole.treecare/|https://coletreecare.com,Social Media Only,service,4.7,14,coletreecare@gmail.com
249,ChIJU8I6hjwJw4kRgt6M6dSMYxw,Chopra Auto Care,(973) 627-0068,"261 Parsippany Rd, Parsippany, NJ 07054, USA",https://instagram.com/chopraautocare?igshid=YmMyMTA2M2Y=|https://chopraautocare.com,Social Media Only,car_repair,4.6,114,chopraautocare@gmail.com
257,ChIJkTIVUlmzw4kRTOTc7pN_HuU,Creative Auto Collision,(908) 653-9600,"112 N 10th St, Kenilworth, NJ 07033, USA",https://www.facebook.com/pages/Creative-Towing/169257689756419|https://www.creativeautocollision.com,Social Media Only,car_repair,5,14,info@creativeautocollision.com
267,ChIJN7BKDxWtw4kR3_gEVhor1bQ,Miky Auto Body Shop,(973) 826-9000,"561 Lyons Ave, Irvington, NJ 07111, USA",https://instagram.com/mikyautoservice?r=nametag|mikyautobody.com,Social Media Only,car_repair,5,3,info@mikyautobody.com
402,ChIJi-fzBPlV-YgRoWK8RqWev4I,Carroll's Auto Body Shop,(843) 589-5845,"4508 Salkehatchie Rd, Early Branch, SC 29916, USA",https://www.facebook.com/Carrolls.fb|https://www.carrollsautobody.com/,Social Media Only,car_repair,5,4,contact@carrollsautobody.com
441,ChIJq6paYLpk_ogRBF6bwnQEzaI,Kings Auto Body,(843) 747-0000,"2140 Beaufort Ave Ste b4, North Charleston, SC 29405, USA",https://www.facebook.com/kingsautobody/|https://www.kingsautobody.com/,Social Media Only,car_repair,4.3,29,info@kingsautobody.com
453,ChIJz6Km1QV9_ogRMIvvcYydk4U,Tideline Automotive,(843) 380-7055,"1949 Dulsey Rd Ste 202, Charleston, SC 29407, USA",https://instagram.com/tideline_auto?igshid=YmMyMTA2M2Y=|https://www.tidelineautomotive.com/,Social Media Only,car_repair,5,31,info@tidelineautomotive.com
476,ChIJBc05cRie-4gRoQ9NCyVUC70,"Parrish Auto Repair, Inc.",(912) 236-4797,"2501 Habersham St, Savannah, GA 31401, USA",https://www.facebook.com/parrishautorepairsavannah/|https://parrishautorepair.com/,Social Media Only,car_repair,4.5,175,parrishautorepair@gmail.com
487,ChIJRZDzhIZ1-4gRY5-2M4e2ouM,Scorpion Motorsports,(912) 631-0456,"3912 Waters Ave, Savannah, GA 31404, USA",https://m.facebook.com/profile.php?id=233056050089314&__user=174503790|https://scorpionmotorsports.com/,Social Media Only,car_repair,4.3,12,info@scorpionmotorsports.com
498,ChIJBc05cRie-4gRoQ9NCyVUC70,"Parrish Auto Repair, Inc.",(912) 236-4797,"2501 Habersham St, Savannah, GA 31401, USA",https://www.facebook.com/parrishautorepairsavannah/|parrishautorepair.com,Social Media Only,car_repair,4.5,175,parrishautorepair@gmail.com
650,ChIJU8I6hjwJw4kRgt6M6dSMYxw,Chopra Auto Care,(973) 627-0068,"261 Parsippany Rd, Parsippany, NJ 07054, USA",https://instagram.com/chopraautocare?igshid=YmMyMTA2M2Y=|https://www.chopraautocare.com,Social Media Only,car_repair,4.6,114,chopraautocare@gmail.com
656,ChIJbe_5phoHw4kRi_u6XJIkhxU,Foreign Cars Service,(973) 627-0068,"30 W Main St, Denville, NJ 07834, USA",https://www.facebook.com/ForeignCarsService/|https://www.foreigncarsservice.com,Social Media Only,car_repair,5,9,foreigncarsservice@gmail.com
657,ChIJG3hnZ6kHw4kRHrV_gWHdUes,Broad ST AUTO REPAIR,(973) 263-1111,"141 N Beverwyck Rd, Lake Hiawatha, NJ 07034, USA",https://www.facebook.com/broad.st.auto.repairs/|https://www.broadstautorepair.com,Social Media Only,car_repair,4.8,62,broadstautorepair@gmail.com
689,ChIJG3hnZ6kHw4kRHrV_gWHdUes,Broad ST AUTO REPAIR,(973) 263-1111,"141 N Beverwyck Rd, Lake Hiawatha, NJ 07034, USA",https://www.facebook.com/broad.st.auto.repairs/|https://www.broadstautorepairnj.com/,Social Media Only,car_repair,4.8,62,broadstautorepair@gmail.com
730,ChIJ-2ZOLLC5w4kRTmcRVEJHwrk,Stelton Auto Care,(848) 467-0831,"700 Hamilton Blvd, South Plainfield, NJ 07080, USA",https://www.facebook.com/steltonautocare|https://steltonautocare.com,Social Media Only,car_repair,4.8,230,steltonautocare@gmail.com
756,ChIJB5VXA9OFwYkRNkbiBZ1joBo,Mike's A to Z Auto Service and Repair,(732) 892-4333,"2409 NJ-88, Point Pleasant, NJ 08742, USA",https://www.facebook.com/profile.php?id=100093208099410|https://www.mikesatozauto.com,Social Media Only,car_repair,4.9,70,mikesatozauto@gmail.com
856,ChIJx4qN4uYM_IgRB956TckWlRw,Sutcliffe Audio,(843) 524-3772,"1351 Ribaut Rd # E, Port Royal, SC 29935, USA",https://www.facebook.com/SUTCLIFFEAUDIO/|https://sutcliffeaudio.com,Social Media Only,electronics_store,4.9,37,sutcliffeaudio@gmail.com
877,ChIJq6qqqvGI-4gRCKDD78Niv10,Auto Doctors Inc,(843) 837-2200,"172 Mead Rd, Hardeeville, SC 29927, USA",https://www.facebook.com/Auto-Doctors-Inc-192328677458147/|https://www.autodoctorsinc.com,Social Media Only,car_repair,4.8,93,info@autodoctorsinc.com
893,ChIJ77znWgCJ-4gRkNpLOOYFoo0,Tire Masters & Auto Repair,(843) 816-8589,"1204 Fording Island Rd Ste E, Bluffton, SC 29910, USA",https://www.facebook.com/share/19wz3v1tdU/?mibextid=wwXIfr|https://www.tiremastersbluffton.com/,Social Media Only,car_repair,5,15,tiremastersbluffton@gmail.com
897,ChIJq6qqqvGI-4gRCKDD78Niv10,Auto Doctors Inc,(843) 837-2200,"172 Mead Rd, Hardeeville, SC 29927, USA",https://www.facebook.com/Auto-Doctors-Inc-192328677458147/|https://autodoctorsinc.com/,Social Media Only,car_repair,4.8,93,autodoctorsinc@gmail.com
955,ChIJBc05cRie-4gRoQ9NCyVUC70,"Parrish Auto Repair, Inc.",(912) 236-4797,"2501 Habersham St, Savannah, GA 31401, USA",https://www.facebook.com/parrishautorepairsavannah/|parrishautorepair.com,Social Media Only,car_repair,4.5,175,parrishautorepair@gmail.com
986,ChIJD0VYFgs_8yoRiFJeJBeyAcg,Southeast Fleet Services – Mobile Truck & Trailer Repair,(912) 787-0218,"100 US-80, Bloomingdale, GA 31302, USA",https://www.facebook.com/profile.php?id=61561194345737&name=xhp_nt__fb__action__open_user|https://www.southeastfleetservices.com,Social Media Only,car_repair,4.8,16,info@southeastfleetservices.com
1018,ChIJOUfSfwqdw4kRF764WmK1RU8,The Fade Den II,(973) 668-5665,"286 US-206, Flanders, NJ 07836, USA",https://instagram.com/thefadeden2|https://thefadeden.com,Social Media Only,barber_shop,5,87,thefadeden@gmail.com
1246,ChIJDzuAYt5x_ogRt1VtiDsrloI,For All Man Kind Hair Studio,(843) 388-5000,"648A Long Point Rd, Mt Pleasant, SC 29464, USA",http://www.instagram.com/forallmankindstudio|https://forallmankindhairstudio.com/,Social Media Only,barber_shop,4.9,29,forallmankindhairstudio@gmail.com
1401,ChIJne2zwCusw4kR8b-rqu47xVs,Christopher Peacock Short Hills,(973) 376-7070,"14 Main St, Millburn, NJ 07041, USA",https://www.instagram.com/christopherpeacockshorthills?igsh=MXBseHVjMXp6Z29oYQ==|https://www.peacockhome.com,Social Media Only,general_contractor,5,6,shorthills@peacockhome.com
1404,ChIJ0yhsclGRw4kRrWXbP3UgAMM,Murphy Kitchen and Bath Construction,(908) 520-9722,"7 Rinehart Ln, Pottersville, NJ 07979, USA",https://www.instagram.com/murphykitchenandbath?igsh=MXE3cXFjeXM4NGxoeg==&utm_source=qr|https://www.murphykitchenandbath.com,Social Media Only,service,5,33,murphykitchenandbath@gmail.com
1496,ChIJFZpuAC6awYkRE2tA0WKLx0g,Seaside Heights Bike and Surrey Rentals,(732) 830-4440,"617 Ocean Terrace, Seaside Heights, NJ 08751, USA",https://www.facebook.com/seasideheightsbikerentals/|https://www.seasideheightsbikerentals.com/,Social Media Only,service,4.7,60,seasideheightsbikerentals@gmail.com
1508,ChIJb8ABxjWEwYkRe_AIDrXyQ8o,Point Bikes,(732) 899-9755,"2819 Bridge Ave, Point Pleasant, NJ 08742, USA",https://www.facebook.com/Point-Bikes-157332534300282/|https://www.pointbikes.com,Social Media Only,bicycle_store,4.5,19,info@pointbikes.com
1520,ChIJ2ZUZ3h8N_IgRNmHDT-x_zM0,University Bikes,(843) 575-0021,"1809 Boundary St, Beaufort, SC 29902, USA",https://www.facebook.com/universitybikes/|https://universitybikes.com/,Social Media Only,bicycle_store,4.6,65,info@universitybikes.com
1521,ChIJI-BtkLEN_IgRm1rCT7vzsqs,"Barefoot Bubbas Inc - Beaufort, SC",(843) 379-3415,"828 Bay St, Beaufort, SC 29902, USA",https://www.facebook.com/BarefootBubbasSurfShop|https://barefootbubbas.com/,Social Media Only,store,4,53,info@barefootbubbas.com
1555,ChIJfxAyuxutw4kRw7lqvJrjAf8,Bob's Bicycle Service,(908) 875-7879,"4 Mark Rd Ste f, Kenilworth, NJ 07033, USA",http://www.facebook.com/bobsbicycleservice|bobsbicycleservice.com,Social Media Only,service,5,69,bobsbicycleservice@gmail.com
1565,ChIJfxAyuxutw4kRw7lqvJrjAf8,Bob's Bicycle Service,(908) 875-7879,"4 Mark Rd Ste f, Kenilworth, NJ 07033, USA",http://www.facebook.com/bobsbicycleservice|bobsbicycleservice.com,Social Media Only,service,5,69,bobsbicycleservice@gmail.com
1573,ChIJb8ABxjWEwYkRe_AIDrXyQ8o,Point Bikes,(732) 899-9755,"2819 Bridge Ave, Point Pleasant, NJ 08742, USA",https://www.facebook.com/Point-Bikes-157332534300282/|https://pointbikes.com/,Social Media Only,bicycle_store,4.5,19,info@pointbikes.com
1602,ChIJUYT7fap0w4kRfZGm4fYBTbg,Colorado Ski & Snowboard,(973) 663-6688,"725 NJ-15 S, Lake Hopatcong, NJ 07849, USA",https://www.facebook.com/coloradoskiandboard/|coloradoski.com,Social Media Only,sporting_goods_store,4.6,72,info@coloradoski.com
1610,ChIJ2RhRKMbmw4kRPyUugjdiO3c,The Cyclab,(609) 258-7799,"2 University Pl, Princeton, NJ 08540, USA",https://www.instagram.com/cyclab/|https://outdooraction.princeton.edu/bike-shop,Social Media Only,service,5,40,outdoor.action@princeton.edu
1611,ChIJb8ABxjWEwYkRe_AIDrXyQ8o,Point Bikes,(732) 899-9755,"2819 Bridge Ave, Point Pleasant, NJ 08742, USA",https://www.facebook.com/Point-Bikes-157332534300282/|https://pointbikes.com/,Social Media Only,bicycle_store,4.5,19,info@pointbikes.com
1614,ChIJ2ZUZ3h8N_IgRNmHDT-x_zM0,University Bikes,(843) 575-0021,"1809 Boundary St, Beaufort, SC 29902, USA",https://www.facebook.com/universitybikes/|https://universitybikes.com/,Social Media Only,bicycle_store,4.6,65,info@universitybikes.com
1615,ChIJ2ZUZ3h8N_IgRNmHDT-x_zM0,University Bikes,(843) 575-0021,"1809 Boundary St, Beaufort, SC 29902, USA",https://www.facebook.com/universitybikes/|https://universitybikes.com/,Social Media Only,bicycle_store,4.6,65,info@universitybikes.com
1644,ChIJbe_5phoHw4kRi_u6XJIkhxU,Foreign Cars Service,(973) 627-0000,"30 W Main St, Denville, NJ 07834, USA",https://www.facebook.com/ForeignCarsService/|https://www.foreigncarsservice.com,Social Media Only,car_repair,5,9,info@foreigncarsservice.com
1727,ChIJU8I6hjwJw4kRgt6M6dSMYxw,Chopra Auto Care,(973) 627-0068,"261 Parsippany Rd, Parsippany, NJ 07054, USA",https://instagram.com/chopraautocare?igshid=YmMyMTA2M2Y=|https://chopraautocare.com/,Social Media Only,car_repair,4.6,114,chopraautocare@gmail.com
1779,ChIJZxQnWvC5w4kRknIZRvR5RsM,New Age Automotive,(848) 247-3001,"424 New Market Rd, Piscataway, NJ 08854, USA",https://www.facebook.com/NewAgeAuto424/|https://newageautomotive.net/,Social Media Only,car_repair,4.9,104,newageautomotive@gmail.com
1781,ChIJ-2ZOLLC5w4kRTmcRVEJHwrk,Stelton Auto Care,(848) 467-0831,"700 Hamilton Blvd, South Plainfield, NJ 07080, USA",https://www.facebook.com/steltonautocare|steltonautocare.com,Social Media Only,car_repair,4.8,230,steltonautocare@gmail.com
1860,ChIJj-izEAcL_IgRqKSM_ng5gEw,East Coast Collision and Recovery,(843) 521-9600,"69 SC-128, Beaufort, SC 29906, USA",https://www.facebook.com/East-Coast-Collision-and-Recovery-247738445335090/|http://eastcoastcollisionandrecovery.com,Social Media Only,car_repair,4.1,13,eastcoastcollisionandrecovery@gmail.com
1865,ChIJx4qN4uYM_IgRB956TckWlRw,Sutcliffe Audio,(843) 524-3772,"1351 Ribaut Rd # E, Port Royal, SC 29935, USA",https://www.facebook.com/SUTCLIFFEAUDIO/|http://sutcliffeaudio.com,Social Media Only,electronics_store,4.9,37,sutcliffeaudio@gmail.com
1895,ChIJzcf3NMGN_ogRBNQ-7fXW_bw,Gill Mobile Auto Repair,(843) 377-6503,"118 Argosy Dr, Summerville, SC 29483, USA",https://m.facebook.com/pages/category/Automotive-Repair-Shop/Gill-Mobile-Auto-Repair-1469137710043703/|https://www.gillmobileautorepair.com/,Social Media Only,car_repair,5,105,gillmobileautorepair@gmail.com
1989,ChIJo93dVFjGw4kRcnBU5v83PL0,La Poncena,(732) 249-3754,"57 Joyce Kilmer Ave #2440, New Brunswick, NJ 08901, USA",https://facebook.com/profile.php?id=100063880725276|https://laponcenarestaurant.com/,Social Media Only,american_restaurant,4.3,881,info@laponcenarestaurant.com
1996,ChIJQy6GP0bHw4kRGWZKUOzmBus,Chai Truck NJ,(732) 306-5156,"533 Shirley Pkwy, Piscataway, NJ 08854, USA",https://www.instagram.com/chaitruck/|https://chaitrucknj.com/,Social Media Only,food,4.9,15,info@chaitrucknj.com
2071,ChIJAwPDhubv_ogRDLCunOih1RY,Kitchen 27 Specialty Catering & Delivery,(843) 737-3188,"1285 Old Gilliard Rd, Ridgeville, SC 29472, USA",https://m.facebook.com/K27Catering/|https://www.kitchen27catering.com/,Social Media Only,catering_service,4.9,45,kitchen27catering@gmail.com
2073,ChIJ5XJpkcqL_ogRPSyBfFTu6vE,DANNY MAK'S TROPHY WINNING BBQ AND FIXINS,(843) 609-8144,"I only smoke the good stuff, #126, Summerville, SC 29483, USA",https://www.facebook.com/DannyMaksBBQ/,No Website,food,5,12,dannymaksbbq@gmail.com
2075,ChIJTWhqra-P_ogR8yzqPd6iTBE,First Impressions Catering,(843) 327-5820,"103 Dirocco Ln, Summerville, SC 29485, USA",https://www.facebook.com/FirstImpressionsCateringLLC/,No Website,catering_service,,,firstimpressionscateringllc@gmail.com
2077,ChIJOVfAMzeL_ogRk9b6zhM2uIg,Avec Amour Catering,(843) 605-5744,"259 Treeland Dr A, Ladson, SC 29456, USA",https://facebook.com/PrettyPeopleEnt|https://www.avec-amourcatering.com/|https://www.facebook.com/AvecAmourCateringLLC/,Social Media Only,food,5,1,avec.amourcatering@gmail.com
2078,ChIJj_vtvMh7_ogRUb7Fz6R9-KA,B’s Soul Creations Breakfast Brunch Catering,(843) 568-7457,"parking, lot 2332 Meeting Street Rd, Charleston, SC 29405, USA",https://www.facebook.com/BsSoulCreations/,No Website,breakfast_restaurant,5,80,bsoulcreations@gmail.com
2079,ChIJAwPDhubv_ogRDLCunOih1RY,Kitchen 27 Specialty Catering & Delivery,(843) 737-3188,"1285 Old Gilliard Rd, Ridgeville, SC 29472, USA",https://m.facebook.com/K27Catering/|https://www.kitchen27catering.com/,Social Media Only,catering_service,4.9,45,kitchen27catering@gmail.com
